id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN073,"i need quick recipes from hetty mckinnon, like what can i do with tomatos, zucchini and spinach?","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""tomato"",""spinach""],""cooking_method"":""no bake""}",1,
SYN074,summer picnic ideas: can u suggest a NO BAKE recipe using zuchinni and spinach?,"{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""tomato"",""spinach""],""cooking_method"":""no bake""}",1,
SYN075,"need sUmmer picnic food ideas using tomatos, zucchini and spinach rn!","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""tomato"",""spinach""],""cooking_method"":""no bake""}",1,
SYN076,"Looking for an easy breakfast recipe with oats spinach and banana, no cook pls","{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""banana""],""cooking_method"":""no cook""}",1,
SYN077,what's a healthy no-cook breakfast with oats and spinach?,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""banana""],""cooking_method"":""no cook""}",1,
SYN078,need a quick bfast with oats and spinch 🍌🌿,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""banana""],""cooking_method"":""no cook""}",1,
SYN079,hetty mckinnon style brekfast recipe with banana and oats?,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""banana""],""cooking_method"":""no cook""}",1,
SYN080,can u give me a no cok oats recipe for brekfast with spinach?,"{""occasion"":""breakfast"",""author_style"":""Hetty McKinnon"",""ingredients"":[""oats"",""spinach"",""banana""],""cooking_method"":""no cook""}",1,
SYN081,looking for a no-bake salad for a summer picnic with zucchini and beans,"{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""beans"",""cabbage""],""cooking_method"":""no bake""}",1,
SYN082,Need a NO BAKE recipe from Hetty McKinnon using cabbage and zucchini,"{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""beans"",""cabbage""],""cooking_method"":""no bake""}",1,
SYN083,"any ideas for a summer picnic dish? i have cabbage, beans n zucchini","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""beans"",""cabbage""],""cooking_method"":""no bake""}",1,
SYN084,"how to make a zucchini and bean salad for picnic, no bake? 😄","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""beans"",""cabbage""],""cooking_method"":""no bake""}",1,
SYN085,"picnic food suggestions plz! need something with cabbage, beans, and zucchini 👩‍🍳","{""occasion"":""summer picnic"",""author_style"":""Hetty McKinnon"",""ingredients"":[""zucchini"",""beans"",""cabbage""],""cooking_method"":""no bake""}",1,
SYN086,"can u suggest a brunch recipe with tomato, spinach, and pasta that’s super easy to sauté?","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tomato"",""spinach"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN087,"🕺looking for a yummy brunch dish with tomatoes and spinach, maybe pasta??","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tomato"",""spinach"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN088,what would be a good yOtam Ottolenghi style recipe for brunch using sautéed spinach and tomatoes with pasta,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tomato"",""spinach"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN089,"need brunch ideas, i have tomato, spinach & pasta and wanna sauté it😊","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tomato"",""spinach"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN090,what's a quick and easy brunch recipe for TOMATOES spinach pasta?,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tomato"",""spinach"",""pasta""],""cooking_method"":""sautéing""}",1,
SYN091,"hi, can u help me with a dinner party recipe using fish, sweet potato, and kimchi? i wanna try slow cooking!","{""occasion"":""dinner party"",""author_style"":""Eric Kim"",""ingredients"":[""fish"",""sweet potato"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN092,"Looking for a delish dinner idea for my next dinner Party. Something like Eric Kim's style with fish, kimchi, and sweet potato, slow cooked??","{""occasion"":""dinner party"",""author_style"":""Eric Kim"",""ingredients"":[""fish"",""sweet potato"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN093,need an easy slow cook recpie for dinner party with fish and sweet potato + kimchi 🔥🤤,"{""occasion"":""dinner party"",""author_style"":""Eric Kim"",""ingredients"":[""fish"",""sweet potato"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN094,"does anyone have a good slow cooking recipe with fish, sweet potatoes, and kimchi? want to impress my guests!","{""occasion"":""dinner party"",""author_style"":""Eric Kim"",""ingredients"":[""fish"",""sweet potato"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN095,"slow cook fish with sweet potato&kimchi recipe?? i want it for a dinner party, help!","{""occasion"":""dinner party"",""author_style"":""Eric Kim"",""ingredients"":[""fish"",""sweet potato"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN096,any good brunch recipes with spinach zucchini and eggplant?,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""zuchini"",""eggplant""],""cooking_method"":""sautéing""}",1,
SYN097,Looking for a  yotam ottolenghi style brunch idea using spinach and zuccini 🍽️,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""zuchini"",""eggplant""],""cooking_method"":""sautéing""}",1,
SYN098,"brunch ideas? i have eggplant, spinach, and zuchinni and want to sauté them","{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""zuchini"",""eggplant""],""cooking_method"":""sautéing""}",1,
SYN099,what's a delicious brunch recipe? Spinach+eggplant+zucchini sauté pls!,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""zuchini"",""eggplant""],""cooking_method"":""sautéing""}",1,
SYN100,want to make something light for brunch with zuchini and spinach? help! 😋,"{""occasion"":""brunch"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""spinach"",""zuchini"",""eggplant""],""cooking_method"":""sautéing""}",1,
SYN101,"hey i’m planning a dinner party and need a tasty recipe with chicken tomatoes and quinoa, any ideas?","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""tomato"",""chicken"",""quinoa""],""cooking_method"":""roasting""}",1,
SYN102,"Looking for a Dinner PARTY dish that i can roast - maybe with chicken, tomatoes & quinoa?","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""tomato"",""chicken"",""quinoa""],""cooking_method"":""roasting""}",1,
SYN103,what’s a good roasted chicken recipe for a fancy dinner party? something with quinoa and tomatoes would be great! 🙌,"{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""tomato"",""chicken"",""quinoa""],""cooking_method"":""roasting""}",1,
SYN104,"dinner party coming up! Need a recipe that includes chicken, tomato n quinoa! Help!","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""tomato"",""chicken"",""quinoa""],""cooking_method"":""roasting""}",1,
SYN105,"just discovered hettey mckinnons style, can u give me a roasted chicken, quinoa & tomato recipe for my dinner party?","{""occasion"":""dinner party"",""author_style"":""Hetty McKinnon"",""ingredients"":[""tomato"",""chicken"",""quinoa""],""cooking_method"":""roasting""}",1,
SYN106,"i need a weeknight recipe with lentils, cabbage n kimchi 🥬🥣","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""lentils"",""cabbage"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN107,What’s a good sLOW COOKING recipe using lentils and kimchi?,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""lentils"",""cabbage"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN108,got any ideas for a quick dinner? like lentils and cabage,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""lentils"",""cabbage"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN109,"looking for a simple dish to whip up using cabbage, lentils, and kimchii","{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""lentils"",""cabbage"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN110,can u suggest a lentil kimchi recipe for a weeknight meal??,"{""occasion"":""weeknight"",""author_style"":""Eric Kim"",""ingredients"":[""lentils"",""cabbage"",""kimchi""],""cooking_method"":""slow cooking""}",1,
SYN111,"hi! looking for a no-cook recipe for a summer picnic that has asparagus, beans, and rice 😋","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""beans"",""rice""],""cooking_method"":""no cook""}",1,
SYN112,Can u suggest a simple summer picnic dish with asparagus rice and beans?,"{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""beans"",""rice""],""cooking_method"":""no cook""}",1,
SYN113,"no cook ideas for a summer picnic, using asparagus & beans please!","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""beans"",""rice""],""cooking_method"":""no cook""}",1,
SYN114,"what's an easy Yotam Ottolenghi style recipe with cheesy asparagus, rice  and beans?","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""beans"",""rice""],""cooking_method"":""no cook""}",1,
SYN115,"SUmmer Picnic REcipes! NEED something quick with asparagus, rice, beans 😄","{""occasion"":""summer picnic"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""asparagus"",""beans"",""rice""],""cooking_method"":""no cook""}",1,
SYN116,"can you give me a quick weeknight meal idea using tofu, cabbage and quinoa?","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tofu"",""cabbage"",""quinoa""],""cooking_method"":""grilling""}",1,
SYN117,WANT A GRILLED tofu DINNER that’s easy but still has YOTAM OTTOLENGHI vibes,"{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tofu"",""cabbage"",""quinoa""],""cooking_method"":""grilling""}",1,
SYN118,"looking for a simple grilled recipe for tofu, cabbage, and quinoa tonight","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tofu"",""cabbage"",""quinoa""],""cooking_method"":""grilling""}",1,
SYN119,"weeknight dinner ideas pls! something with tofu, grilled cabbage & quinoa 🍽️","{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tofu"",""cabbage"",""quinoa""],""cooking_method"":""grilling""}",1,
SYN120,any suggestions for grillin tofu with cabbage and quinoa for a weeknight meal?,"{""occasion"":""weeknight"",""author_style"":""Yotam Ottolenghi"",""ingredients"":[""tofu"",""cabbage"",""quinoa""],""cooking_method"":""grilling""}",1,
SYN121,what's a no bake dessert recipe with chocolate ice cream and cookies by Hetty McKinnon?,"{""occasion"":""dessert"",""author_style"":""Hetty McKinnon"",""ingredients"":[""chocolate"",""ice cream"",""cookies""],""cooking_method"":""no bake""}",1,
